"filename", "language", "C++", "YAML", "HTML", "Markdown", "JSON", "Swift", "Dart", "XML", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\macos\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\pubspec.yaml", "YAML", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 55, 14, 118
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\test\pages_test\app_pages_test\unit_tests\cart_page_unit_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 7, 32
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\test\pages_test\app_pages_test\unit_tests\coffee_page_unit_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 1, 8, 40
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\test\pages_test\app_pages_test\widget_tests\cart_page_widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 1, 9, 56
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\test\pages_test\app_pages_test\widget_tests\coffee_list_widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 5, 12, 60
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\test\pages_test\app_pages_test\widget_tests\home_page_widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 4, 21
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\test\pages_test\app_pages_test\widget_tests\map_page_widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 3, 8, 50
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\test\pages_test\app_pages_test\widget_tests\order_confirmation_widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 5, 41
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\test\pages_test\app_pages_test\widget_tests\parking_page_widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 6, 34
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\test\pages_test\sing_in_up_pages\auth_page_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 6, 5, 40
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\test\pages_test\sing_in_up_pages\login_page_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 3, 9, 53
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\test\pages_test\sing_in_up_pages\register_page_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 6, 22
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\web\index.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 16, 7, 61
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\windows\flutter\generated_plugin_registrant.cc", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\issam\Desktop\Testing Space GitHub\COMP3130 Assignment\comp3130-major-work-MajdIssa34\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 552, 52, 38, 65, 291, 62, 3094, 474, 8, 91, 497, 540, 5764
